Date,1st Source Corp
19901231,54.59012242714553
19910101,54.59425328529481
19910102,53.74139722611382
19910103,58.412684636765
19910104,66.00912012709286
19910105,66.00912012709286
19910106,66.00912012709286
19910107,69.19328011982509
19910108,67.50805372254662
19910109,66.51333670083501
19910110,67.10648302498325
19910111,72.87679807906694
19910112,72.87679807906694
19910113,72.87679807906694
19910114,69.66637483223191
19910115,85.7810890726808
19910116,85.63528116239787
19910117,84.83320690141863
19910118,80.1162766652836
19910119,80.1162766652836
19910120,80.1162766652836
19910121,79.86187511093598
19910122,80.69199325283097
19910123,93.75029758763051
19910124,94.76978823211881
19910125,82.45244328520972
19910126,82.45244328520972
19910127,82.45244328520972
19910128,83.11101479663677
19910129,90.99933889196552
19910130,60.664720687661244
19910131,60.37695013909201
19910201,47.6813727085872
19910202,47.6813727085872
19910203,47.6813727085872
19910204,39.53224240881357
19910205,34.68941432895711
19910206,34.40493667087038
19910207,33.28214195012829
19910208,33.31719803392265
19910209,33.31719803392265
19910210,33.31719803392265
19910211,28.10321543134754
19910212,30.66199140431834
19910213,28.394975837185218
19910214,25.600108723490916
19910215,30.80948038651737
19910216,30.80948038651737
19910217,30.80948038651737
19910218,30.80948038651737
19910219,29.851387402330484
19910220,29.91947377411281
19910221,29.802058590534617
19910222,24.2689595560288
19910223,24.2689595560288
19910224,24.2689595560288
19910225,23.286009307342457
19910226,23.080074416694277
19910227,28.727235904991446
19910228,25.56138951467554
19910301,25.21271404633176
19910302,25.21271404633176
19910303,25.21271404633176
19910304,26.95885648781608
19910305,29.548513118527094
19910306,27.0985208287348
19910307,28.270903266222987
19910308,31.06148698968138
19910309,31.06148698968138
19910310,31.06148698968138
19910311,29.594270027960853
19910312,25.05863307526242
19910313,27.078274699660973
19910314,30.187832317647597
19910315,27.96598674424672
19910316,27.96598674424672
19910317,27.96598674424672
19910318,30.347995541643837
19910319,33.325508189889916
19910320,32.60203877281517
19910321,32.63579080459768
19910322,31.12352769699776
19910323,31.12352769699776
19910324,31.12352769699776
19910325,30.34797401427182
19910326,31.638791655364255
19910327,30.350637859179113
19910328,27.384859632415747
19910329,27.384859632415747
19910330,27.384859632415747
19910331,27.384859632415747
19910401,27.338520811842713
19910402,25.97987099707968
19910403,28.066633024087757
19910404,28.26613846216333
19910405,26.140247526372963
19910406,26.140247526372963
19910407,26.140247526372963
19910408,27.86894647652496
19910409,23.391834002368743
19910410,23.330598852034232
19910411,23.563539176546
19910412,23.59122948871155
19910413,23.59122948871155
19910414,23.59122948871155
19910415,26.12546240420742
19910416,25.949306586344722
19910417,23.876242758869022
19910418,23.937957843392482
19910419,26.58673781728762
19910420,26.58673781728762
19910421,26.58673781728762
19910422,24.484683581153455
19910423,24.753598026170273
19910424,24.38685084402498
19910425,22.942072731499184
19910426,22.056738041361324
19910427,22.056738041361324
19910428,22.056738041361324
19910429,22.054937355662716
19910430,20.033982351213318
19910501,17.351621636456574
19910502,19.319653137076326
19910503,16.309239725216354
19910504,16.309239725216354
19910505,16.309239725216354
19910506,16.17061128060165
19910507,18.53166317001328
19910508,18.470597064265306
19910509,16.85723350032127
19910510,15.968550010001556
19910511,15.968550010001556
19910512,15.968550010001556
19910513,15.9841500917019
19910514,15.813418630159786
19910515,16.406121224842177
19910516,15.969211970880947
19910517,16.638947513284496
19910518,16.638947513284496
19910519,16.638947513284496
19910520,15.498117523171215
19910521,15.487758850340862
19910522,15.514057642102525
19910523,14.125578071978952
19910524,14.715665236327224
19910525,14.715665236327224
19910526,14.715665236327224
19910527,14.715665236327224
19910528,16.169007980436174
19910529,15.093094626453926
19910530,14.394233590972814
19910531,14.486046052587026
19910601,14.48741089293012
19910602,14.48741089293012
19910603,14.162909336478075
19910604,15.697949789608352
19910605,13.54910189049232
19910606,12.61333759931284
19910607,13.805254225499167
19910608,13.805254225499167
19910609,13.805254225499167
19910610,12.003313547352866
19910611,12.000231887459968
19910612,11.888233800197723
19910613,13.247853005593273
19910614,12.399100240457
19910615,12.399100240457
19910616,12.399100240457
19910617,13.332575587013357
19910618,13.550682510109777
19910619,13.32908597357618
19910620,11.86955030047791
19910621,11.96289982395407
19910622,11.96289982395407
19910623,11.96289982395407
19910624,12.874440301988903
19910625,12.985216444779855
19910626,13.004897944046371
19910627,11.58310878665188
19910628,11.890559166718274
19910629,11.890559166718274
19910630,11.890559166718274
19910701,11.092297045237018
19910702,9.994646412767093
19910703,10.603112613419645
19910704,10.603112613419645
19910705,9.655465435486935
19910706,9.655465435486935
19910707,9.655465435486935
19910708,11.069320374712506
19910709,11.015779205971466
19910710,11.074754957625467
19910711,9.40346681481268
19910712,10.425226796052366
19910713,10.425226796052366
19910714,10.425226796052366
19910715,10.507921692610578
19910716,10.172484564913603
19910717,10.630167137877516
19910718,10.013071332105167
19910719,9.88386644363576
19910720,9.88386644363576
19910721,9.88386644363576
19910722,9.314645419499836
19910723,10.480952642572905
19910724,9.678943629930009
19910725,9.363054307493574
19910726,10.350804553234454
19910727,10.350804553234454
19910728,10.350804553234454
19910729,10.404514305464758
19910730,10.856172422021036
19910731,10.409013459658063
19910801,10.855131201255872
19910802,10.953845927924442
19910803,10.953845927924442
19910804,10.953845927924442
19910805,11.059832858396494
19910806,11.434028310281752
19910807,10.018197715122241
19910808,9.893642421460468
19910809,10.494232156966481
19910810,10.494232156966481
19910811,10.494232156966481
19910812,10.63282452704471
19910813,9.566296143880324
19910814,6.692014067170482
19910815,7.597173268914223
